PassengerId,Survived,Pclass,Sex,Age,Fare,Cabin
24,1,1,1,28,35.5,1
97,0,1,1,71,34.6542,1
175,0,1,1,56,30.6958,1
186,0,1,1,,50,1
210,1,1,1,40,31,1
285,0,1,1,,26,1
446,1,1,1,4,81.8583,1
476,0,1,1,,52,1
557,1,1,0,48,39.6,1
584,0,1,1,36,40.125,1
600,1,1,1,49,56.9292,1
631,1,1,1,80,30,1
648,1,1,1,56,35.5,1
807,0,1,1,39,0,1
868,0,1,1,31,50.4958,1
32,1,1,0,,146.5208,2
55,0,1,1,65,61.9792,2
62,1,1,0,38,80,2
119,0,1,1,24,247.5208,2
140,0,1,1,24,79.2,2
171,0,1,1,61,33.5,2
195,1,1,0,44,27.7208,2
196,1,1,0,58,146.5208,2
258,1,1,0,30,86.5,2
264,0,1,1,40,0,2
292,1,1,0,19,91.0792,2
300,1,1,0,50,247.5208,2
312,1,1,0,18,262.375,2
330,1,1,0,16,57.9792,2
370,1,1,0,24,69.3,2
391,1,1,1,36,120,2
436,1,1,0,14,120,2
485,1,1,1,25,91.0792,2
488,0,1,1,58,29.7,2
505,1,1,0,16,86.5,2
521,1,1,0,30,93.5,2
524,1,1,0,44,57.9792,2
537,0,1,1,45,26.55,2
540,1,1,0,22,49.5,2
541,1,1,0,36,71,2
588,1,1,1,60,79.2,2
633,1,1,1,32,30.5,2
642,1,1,0,24,69.3,2
672,0,1,1,31,52,2
680,1,1,1,36,512.3292,2
690,1,1,0,15,211.3375,2
691,1,1,1,31,57,2
731,1,1,0,29,211.3375,2
738,1,1,1,35,512.3292,2
743,1,1,0,21,262.375,2
746,0,1,1,70,71,2
760,1,1,0,33,86.5,2
764,1,1,0,36,120,2
780,1,1,0,43,211.3375,2
782,1,1,0,17,57,2
790,0,1,1,46,79.2,2
803,1,1,1,11,120,2
816,0,1,1,,0,2
821,1,1,0,52,93.5,2
830,1,1,0,62,80,2
873,0,1,1,33,5,2
888,1,1,0,19,30,2
2,1,1,0,38,71.2833,3
4,1,1,0,35,53.1,3
12,1,1,0,58,26.55,3
28,0,1,1,19,263,3
56,1,1,1,,35.5,3
63,0,1,1,45,83.475,3
89,1,1,0,23,263,3
111,0,1,1,47,52,3
138,0,1,1,37,53.1,3
152,1,1,0,22,66.6,3
178,0,1,0,50,28.7125,3
225,1,1,1,38,90,3
231,1,1,0,35,83.475,3
246,0,1,1,44,90,3
253,0,1,1,62,26.55,3
269,1,1,0,58,153.4625,3
270,1,1,0,35,135.6333,3
274,0,1,1,37,29.7,3
298,0,1,0,2,151.55,3
299,1,1,1,,30.5,3
306,1,1,1,0.92,151.55,3
308,1,1,0,17,108.9,3
311,1,1,0,24,83.1583,3
319,1,1,0,31,164.8667,3
326,1,1,0,36,135.6333,3
332,0,1,1,45.5,28.5,3
333,0,1,1,38,153.4625,3
